Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
AUTO.JK,Astra Otoparts Tbk.,1998-06-15,4819733000,Utama
AVIA.JK,Avia Avian Tbk.,,61953555600,Utama
AWAN.JK,Era Digital Media Tbk.,2023-04-18,3435000000,Pengembangan
AXIO.JK,Tera Data Indonusa Tbk.,2022-07-20,5840126500,Pengembangan
AYAM.JK,Janu Putra Sejahtera Tbk.,2023-11-30,4000000000,Pengembangan
AYLS.JK,Arkayana Lestari Grup Tbk.,2020-02-12,853423236,Pengembangan
BABP.JK,Bank MNC Internasional Tbk.,2002-07-15,44014333126,Pengembangan
BABY.JK,Multitrend Indo Tbk.,2023-09-07,2854826582,Pengembangan
BACA.JK,Bank Capital Indonesia Tbk.,,19753494636,Utama
BACH.JK,Bach Multi Global Tbk.,2026-07-08,4084430000,Utama
BAIK.JK,Bersama Mencapai Puncak Tbk.,2024-02-15,1127497572,Pengembangan
BAJA.JK,Saranacentral Bajatama Tbk.,,1800000000,Pengembangan
BALI.JK,Bali Towerindo Sentra Tbk.,2014-03-13,3934592500,Utama
BANK.JK,Bank Aladin Syariah Tbk.,2021-02-01,14793174908,Pengembangan
BAPA.JK,Bekasi Asri Pemula Tbk.,2008-01-14,661784520,Pengembangan
BAPI.JK,Bhakti Agung Propertindo Tbk.,2019-09-16,5591980103,Pemantauan Khusus
BATA.JK,Sepatu Bata Tbk.,1982-03-24,1300000000,Pemantauan Khusus
BATR.JK,Benteng Api Technic Tbk.,2024-06-10,3025037353,Pengembangan
BAUT.JK,Mitra Angkasa Sejahtera Tbk.,2022-01-28,4800182969,Pemantauan Khusus
BAYU.JK,Bayu Buana Tbk,,353220780,Utama
BBCA.JK,Bank Central Asia Tbk.,,122042299500,Utama
BBHI.JK,Allo Bank Indonesia Tbk.,,21512953877,Utama
BBKP.JK,Bank KB Indonesia Tbk.,2006-07-10,185819884852,Pengembangan
BBLD.JK,Buana Finance Tbk.,,1645796054,Pengembangan
BBMD.JK,Bank Mestika Dharma Tbk.,2013-07-08,4049189100,Utama
BBNI.JK,Bank Negara Indonesia (Persero,1996-11-25,36924339786,Utama
BBRI.JK,Bank Rakyat Indonesia (Persero,2003-11-10,150043411587,Utama
BBRM.JK,Pelayaran Nasional Bina Buana,2013-01-09,8479490328,Pengembangan
BBSI.JK,Krom Bank Indonesia Tbk.,2020-09-07,3637976068,Utama
BBSS.JK,Bumi Benowo Sukses Sejahtera T,2020-04-15,4800016020,Pengembangan
BBTN.JK,Bank Tabungan Negara (Persero),,13894099969,Utama
BBYB.JK,Bank Neo Commerce Tbk.,2015-01-13,13216977523,Utama
BCAP.JK,MNC Kapital Indonesia Tbk.,2001-06-08,42618850927,Utama
BCIC.JK,Bank JTrust Indonesia Tbk.,1997-06-25,17926071041,Pengembangan
BCIP.JK,Bumi Citra Permai Tbk.,,1429915525,Pengembangan
BDKR.JK,Berdikari Pondasi Perkasa Tbk.,2023-03-03,4725101522,Utama
BDMN.JK,Bank Danamon Indonesia Tbk.,,9675817341,Utama
BEBS.JK,Berkah Beton Sadaya Tbk.,2021-03-10,45000000000,Pemantauan Khusus
BEEF.JK,Estika Tata Tiara Tbk.,2019-01-10,8120249598,Pengembangan
BEER.JK,Jobubu Jarum Minahasa Tbk.,2023-01-06,4000000000,Pengembangan
BEKS.JK,Bank Pembangunan Daerah Banten,2001-07-13,51351733883,Pemantauan Khusus
BELI.JK,Global Digital Niaga Tbk.,2022-11-08,137218985689,Pengembangan
BELL.JK,Trisula Textile Industries Tbk,,7250000000,Pengembangan
BESS.JK,Batulicin Nusantara Maritim Tb,2020-03-09,3440455528,Pengembangan
BEST.JK,Bekasi Fajar Industrial Estate,2012-04-10,9647311150,Utama
BFIN.JK,BFI Finance  Indonesia Tbk.,,15039383620,Utama
BGTG.JK,Bank Ganesha Tbk.,,23731287132,Utama
BHAT.JK,Bhakti Multi Artha Tbk.,2020-04-15,5000000000,Pengembangan
BHIT.JK,MNC Asia Holding Tbk.,1997-11-24,86068156705,Pemantauan Khusus
BIKA.JK,Binakarya Jaya Abadi Tbk.,2015-07-14,592280000,Pemantauan Khusus
BIKE.JK,Sepeda Bersama Indonesia Tbk.,2022-03-21,1293916404,Pengembangan
BIMA.JK,Primarindo Asia Infrastructure,,608175716,Pemantauan Khusus
BINA.JK,Bank Ina Perdana Tbk.,2014-01-16,6073369498,Utama
BINO.JK,Perma Plasindo Tbk.,2021-11-25,2275316111,Pengembangan
BIPI.JK,Astrindo Nusantara Infrastrukt,2010-02-11,63710196917,Pengembangan
BIPP.JK,Bhuwanatala Indah Permai Tbk.,,5028669376,Pengembangan
BIRD.JK,Blue Bird Tbk.,2014-11-05,2502100000,Utama
BISI.JK,BISI International Tbk.,,3000000000,Utama
BJBR.JK,Bank Pembangunan Daerah Jawa B,2010-07-08,10416229249,Utama
BJTM.JK,Bank Pembangunan Daerah Jawa T,2012-07-12,14865343101,Utama
BKDP.JK,Bukit Darmo Property Tbk,2007-06-15,7513992252,Pengembangan
BKSL.JK,Sentul City Tbk.,1997-07-28,167708902705,Utama
BKSW.JK,Bank QNB Indonesia Tbk.,2002-11-21,34806467881,Pengembangan
BLES.JK,Superior Prima Sukses Tbk.,2024-07-08,8890206400,Pengembangan
BLOG.JK,Trimitra Trans Persada Tbk.,2025-07-10,3379487200,Utama
BLTA.JK,Berlian Laju Tanker Tbk,1990-03-26,25940187103,Pemantauan Khusus
BLTZ.JK,Graha Layar Prima Tbk.,2014-04-10,873937142,Pemantauan Khusus
BLUE.JK,Berkah Prima Perkasa Tbk.,2019-07-08,418000000,Pengembangan
BMAS.JK,Bank Maspion Indonesia Tbk.,2013-07-11,17921635680,Pengembangan
BMBL.JK,Lavender Bina Cendikia Tbk.,2023-01-11,1030080995,Akselerasi
BMHS.JK,Bundamedik Tbk.,2021-07-06,8603416176,Utama
BMRI.JK,Bank Mandiri (Persero) Tbk.,2003-07-14,92399999996,Utama
BMSR.JK,Bintang Mitra Semestaraya Tbk,,1159200024,Pengembangan
BMTR.JK,Global Mediacom Tbk.,1995-07-17,16583997586,Utama
BNBA.JK,Bank Bumi Arta Tbk.,2006-06-01,3354120000,Pengembangan
BNBR.JK,Bakrie & Brothers Tbk,,173416832509,Pengembangan
BNGA.JK,Bank CIMB Niaga Tbk.,1989-11-29,24890783784,Utama
BNII.JK,Bank Maybank Indonesia Tbk.,1989-11-21,75357433911,Utama
BNLI.JK,Bank Permata Tbk.,1990-01-15,35819545925,Utama
BOAT.JK,Newport Marine Services Tbk.,2024-11-12,3501680000,Pengembangan
BOBA.JK,Formosa Ingredient Factory Tbk,2021-11-01,1155750000,Pengembangan
BOGA.JK,Apollo Global Interactive Tbk.,,3803526210,Pengembangan
BOLA.JK,Bali Bintang Sejahtera Tbk.,2019-06-17,6000000000,Utama
BOLT.JK,Garuda Metalindo Tbk.,2015-07-07,2343750000,Pengembangan
BOSS.JK,Borneo Olah Sarana Sukses Tbk.,2018-02-15,1400000000,Pemantauan Khusus
BPFI.JK,Woori Finance Indonesia Tbk.,2009-06-01,2673995362,Pengembangan
BPII.JK,Batavia Prosperindo Internasio,2014-07-08,9884153240,Pengembangan
BPTR.JK,Batavia Prosperindo Trans Tbk.,2018-07-09,3534000000,Pengembangan
BRAM.JK,Indo Kordsa Tbk.,1990-09-05,450056980,Pengembangan
BREN.JK,Barito Renewables Energy Tbk.,,133786220000,Utama
BRIS.JK,Bank Syariah Indonesia (Perser,,45667877639,Utama
BRMS.JK,Bumi Resources Minerals Tbk.,,141784040338,Utama
BRNA.JK,Berlina Tbk.,1989-11-06,979110000,Pengembangan
BRPT.JK,Barito Pacific Tbk.,,93747218044,Utama
BRRC.JK,Raja Roti Cemerlang Tbk.,2025-01-09,994603036,Pengembangan
BSBK.JK,Wulandari Bangun Laksana Tbk.,2022-11-08,25091882375,Pengembangan
BSDE.JK,Bumi Serpong Damai Tbk.,2008-06-06,21171365812,Utama
BSIM.JK,Bank Sinarmas Tbk.,,19517921842,Utama
BSML.JK,Bintang Samudera Mandiri Lines,,1850225000,Pengembangan
BSSR.JK,Baramulti Suksessarana Tbk.,2012-11-08,2616500000,Utama
BSWD.JK,Bank Of India Indonesia Tbk.,,3651978177,Pemantauan Khusus
BTEK.JK,Bumi Teknokultura Unggul Tbk,,46277496376,Pemantauan Khusus
BTEL.JK,Bakrie Telecom Tbk.,2006-02-03,38330244255,Pemantauan Khusus
BTON.JK,Betonjaya Manunggal Tbk.,2001-07-18,720000000,Pengembangan
BTPN.JK,Bank SMBC Indonesia Tbk.,2008-03-12,10536203690,Utama
BTPS.JK,Bank BTPN Syariah Tbk.,,7626663000,Utama
BUAH.JK,Segar Kumala Indonesia Tbk.,,2000000000,Pengembangan
BUDI.JK,Budi Starch & Sweetener Tbk.,,4498997362,Utama
BUKA.JK,Bukalapak.com Tbk.,,103167090767,Ekonomi Baru
BUKK.JK,Bukaka Teknik Utama Tbk.,2015-06-29,2640452000,Pengembangan
BULL.JK,Buana Lintas Lautan Tbk.,,15494436593,Pengembangan
BUMI.JK,Bumi Resources Tbk.,1990-07-30,371335392068,Utama
BUVA.JK,Bukit Uluwatu Villa Tbk.,2010-07-12,24617054642,Pengembangan
BVIC.JK,Bank Victoria International Tb,1999-06-30,18235266754,Utama
BWPT.JK,Eagle High Plantations Tbk.,,31525291000,Utama
BYAN.JK,Bayan Resources Tbk.,,33333335000,Utama
CAKK.JK,Cahayaputra Asa Keramik Tbk.,,1203300219,Pengembangan
CAMP.JK,Campina Ice Cream Industry Tbk,,5885000000,Pengembangan
CANI.JK,Capitol Nusantara Indonesia Tb,2014-01-16,833440000,Pemantauan Khusus
CARE.JK,Metro Healthcare Indonesia Tbk,2020-03-13,33250000000,Pengembangan
CARS.JK,Industri dan Perdagangan Bintr,2017-04-10,15000000000,Utama
CASA.JK,Capital Financial Indonesia Tb,2016-07-19,54476269803,Pengembangan
CASH.JK,Cashlez Worldwide Indonesia Tb,,1431125517,Akselerasi
CASS.JK,Cahaya Aero Services Tbk.,,2086950000,Utama
CBDK.JK,Bangun Kosambi Sukses Tbk.,2025-01-13,5668944500,Utama
CBMF.JK,Cahaya Bintang Medan Tbk.,2020-04-09,1875000000,Pemantauan Khusus
CBPE.JK,Citra Buana Prasida Tbk.,2023-01-06,1356250000,Pengembangan
CBRE.JK,Cakra Buana Resources Energi T,2023-01-09,4538067441,Pengembangan
CBUT.JK,Citra Borneo Utama Tbk.,2022-11-08,3125000000,Utama
CCSI.JK,Communication Cable Systems In,2019-06-18,1333333331,Pengembangan
CDIA.JK,Chandra Daya Investasi Tbk.,2025-07-09,124829374700,Pengembangan
CEKA.JK,Wilmar Cahaya Indonesia Tbk.,1996-07-09,595000000,Pengembangan
CENT.JK,Centratama Telekomunikasi Indo,2001-11-01,31183464900,Pengembangan
CFIN.JK,Clipan Finance Indonesia Tbk.,,3984520457,Utama
CGAS.JK,Citra Nusantara Gemilang Tbk.,2024-01-08,1771499039,Pengembangan
CHEK.JK,Diastika Biotekindo Tbk.,2025-07-10,4113331485,Pengembangan
CHEM.JK,Chemstar Indonesia Tbk.,2022-07-08,1700014594,Pengembangan
CHIP.JK,Pelita Teknologi Global Tbk.,2023-02-08,806000000,Akselerasi
CINT.JK,Chitose Internasional Tbk.,2014-06-27,1000000000,Pengembangan
CITA.JK,Cita Mineral Investindo Tbk.,2002-03-20,3960361250,Utama
CITY.JK,Natura City Developments Tbk.,2018-09-28,5405188966,Pengembangan
CLAY.JK,Citra Putra Realty Tbk.,2019-01-18,2570000000,Pengembangan
CLEO.JK,Sariguna Primatirta Tbk.,,24000000000,Utama
CLPI.JK,Colorpak Indonesia Tbk.,2001-11-30,306338500,Pengembangan
CMNP.JK,Citra Marga Nusaphala Persada,1995-01-10,6696354391,Utama
CMNT.JK,Cemindo Gemilang Tbk.,2021-09-08,17125504000,Pengembangan
CMPP.JK,AirAsia Indonesia Tbk.,,10685124441,Pemantauan Khusus
CMRY.JK,Cisarua Mountain Dairy Tbk.,,7934683000,Utama
CNKO.JK,Exploitasi Energi Indonesia Tb,2001-11-20,8956361206,Pemantauan Khusus
CNMA.JK,Nusantara Sejahtera Raya Tbk.,,83345000000,Pengembangan
CNTX.JK,Century Textile Industry Tbk.,,70000000,Pemantauan Khusus
COAL.JK,Black Diamond Resources Tbk.,2022-09-07,6250000000,Pemantauan Khusus
COCO.JK,Wahana Interfood Nusantara Tbk,2019-03-20,3559455924,Pengembangan
COIN.JK,Indokripto Koin Semesta Tbk.,2025-07-09,14705882400,Pengembangan
COWL.JK,Cowell Development Tbk.,,4871214021,Pemantauan Khusus
CPIN.JK,Charoen Pokphand Indonesia Tbk,1991-03-18,16398000000,Utama
CPRI.JK,Capri Nusa Satu Properti Tbk.,2019-04-11,2433379958,Pemantauan Khusus
CPRO.JK,Central Proteina Prima Tbk.,2006-11-28,59572382787,Pengembangan
CRAB.JK,Toba Surimi Industries Tbk.,,1950000000,Pengembangan
CRSN.JK,Carsurin Tbk.,2023-07-10,2892000000,Pengembangan
CSAP.JK,Catur Sentosa Adiprana Tbk.,,5683175151,Pengembangan
CSIS.JK,Cahayasakti Investindo Sukses,,1829800661,Pengembangan
CSMI.JK,Cipta Selera Murni Tbk.,2020-04-09,816061500,Pengembangan
CSRA.JK,Cisadane Sawit Raya Tbk.,2020-01-09,2050000000,Pengembangan
CTBN.JK,Citra Tubindo Tbk.,1989-11-28,800371500,Pengembangan
CTRA.JK,Ciputra Development Tbk.,1994-03-28,18535695255,Utama
CTTH.JK,Citatah Tbk.,1996-07-03,1230839821,Pengembangan
CUAN.JK,Petrindo Jaya Kreasi Tbk.,2023-03-08,112418900000,Utama
CYBR.JK,ITSEC Asia Tbk.,,13477947204,Pengembangan
DAAZ.JK,Daaz Bara Lestari Tbk.,2024-11-11,1997000000,Utama
DADA.JK,Diamond Citra Propertindo Tbk.,2020-02-14,7431530800,Pengembangan
DART.JK,Duta Anggada Realty Tbk.,,3141390962,Pengembangan
DATA.JK,Remala Abadi Tbk.,,1375000000,Pengembangan
DAYA.JK,Duta Intidaya Tbk.,2016-06-28,2420547025,Pengembangan
DCII.JK,DCI Indonesia Tbk.,2021-01-06,2383745900,Pengembangan
DEAL.JK,Dewata Freightinternational Tb,2018-11-11,1146170959,Pemantauan Khusus
DEFI.JK,Danasupra Erapacific Tbk.,2001-07-06,687266666,Pemantauan Khusus
DEPO.JK,Caturkarda Depo Bangunan Tbk.,2021-11-25,6790000000,Pengembangan
DEWA.JK,Darma Henwa Tbk,2007-09-26,40687434244,Utama
DEWI.JK,Dewi Shri Farmindo Tbk.,2022-07-18,2000000000,Pengembangan
DFAM.JK,Dafam Property Indonesia Tbk.,2018-04-27,1899852850,Pengembangan
DGIK.JK,Nusa Konstruksi Enjiniring Tbk,,5541165000,Pengembangan
DGNS.JK,Diagnos Laboratorium Utama Tbk,2021-01-15,1375000000,Pengembangan
DGWG.JK,Delta Giri Wacana Tbk.,2025-01-13,5882353000,Utama
DIGI.JK,Arkadia Digital Media Tbk.,2018-09-18,1625000000,Pemantauan Khusus
DILD.JK,Intiland Development Tbk.,1991-09-04,10365854185,Utama
DIVA.JK,Distribusi Voucher Nusantara T,2018-11-27,1428571400,Pengembangan
DKFT.JK,Central Omega Resources Tbk.,1997-11-21,5638246600,Utama
DKHH.JK,Cipta Sarana Medika Tbk.,,2550312624,Pengembangan
DLTA.JK,Delta Djakarta Tbk.,1984-02-27,800659050,Utama
DMAS.JK,Puradelta Lestari Tbk.,,48198111100,Utama
DMMX.JK,Digital Mediatama Maxima Tbk.,,7692307700,Pengembangan
DMND.JK,Diamond Food Indonesia Tbk.,2020-01-22,9468359000,Utama
DNAR.JK,Bank Oke Indonesia Tbk.,2014-07-11,16721891185,Pengembangan
DNET.JK,Indoritel Makmur Internasional,,14184000000,Utama
DOID.JK,BUMA Internasional Grup Tbk.,2001-06-15,7651007132,Pengembangan
DOOH.JK,Era Media Sejahtera Tbk.,,7738891036,Pengembangan
DOSS.JK,Global Sukses Digital Tbk.,,1725000000,Pengembangan
DPNS.JK,Duta Pertiwi Nusantara Tbk.,,331129952,Pengembangan
DPUM.JK,Dua Putra Utama Makmur Tbk.,,4175000000,Pengembangan
DRMA.JK,Dharma Polimetal Tbk.,,4705882300,Utama
DSFI.JK,Dharma Samudera Fishing Indust,2000-03-24,1857135500,Pengembangan
DSNG.JK,Dharma Satya Nusantara Tbk.,2013-06-14,10599842400,Utama
DSSA.JK,Dian Swastatika Sentosa Tbk,,192638080000,Utama
DUCK.JK,Jaya Bersama Indo Tbk.,,1283330000,Pemantauan Khusus
DUTI.JK,Duta Pertiwi Tbk,1994-11-02,1850000000,Pemantauan Khusus
DVLA.JK,Darya-Varia Laboratoria Tbk.,1994-11-11,1120000000,Pengembangan
DWGL.JK,Dwi Guna Laksana Tbk.,,9252820991,Pengembangan
DYAN.JK,Dyandra Media International Tb,2013-03-25,4272964279,Pengembangan
EAST.JK,Eastparc Hotel Tbk.,2019-07-09,4126405336,Pengembangan
ECII.JK,Electronic City Indonesia Tbk.,2013-07-03,1334333000,Pengembangan
EDGE.JK,Indointernet Tbk.,2021-02-08,2020250000,Pengembangan
EKAD.JK,Ekadharma International Tbk.,,3493875000,Pengembangan
ELIT.JK,Data Sinergitama Jaya Tbk.,2023-01-06,2031643057,Pengembangan
ELPI.JK,Pelayaran Nasional Ekalya Purn,,7412000000,Utama
ELSA.JK,Elnusa Tbk.,2008-02-06,7298500000,Utama
ELTY.JK,Bakrieland Development Tbk.,,43521913019,Pemantauan Khusus
EMAS.JK,Merdeka Gold Resources Tbk.,2025-09-23,14731366060,Pengembangan
EMDE.JK,Megapolitan Developments Tbk.,2011-01-12,3350000000,Pengembangan
EMMI.JK,Esa Medika Mandiri Tbk.,2026-07-08,1742857000,Pengembangan
EMTK.JK,Elang Mahkota Teknologi Tbk.,2010-01-12,61426451483,Utama
ENAK.JK,Champ Resto Indonesia Tbk.,2022-02-08,2166666800,Pengembangan
ENRG.JK,Energi Mega Persada Tbk.,2004-06-07,26564543750,Utama
ENVY.JK,Envy Technologies Indonesia Tb,2019-07-08,1800000000,Pemantauan Khusus
ENZO.JK,Morenzo Abadi Perkasa Tbk.,2020-09-14,2162547122,Pengembangan
EPAC.JK,Megalestari Epack Sentosaraya,2020-07-01,3303400000,Pengembangan
EPMT.JK,Enseval Putera Megatrading Tbk,,2708640000,Utama
ERAA.JK,Erajaya Swasembada Tbk.,,15950000000,Utama
ERAL.JK,Sinar Eka Selaras Tbk.,,5187500000,Utama
ERTX.JK,Eratex Djaja Tbk.,,1286539792,Pengembangan
ESIP.JK,Sinergi Inti Plastindo Tbk.,2019-11-14,1109953847,Pengembangan
ESSA.JK,ESSA Industries Indonesia Tbk.,2012-02-01,17226975700,Utama
ESTA.JK,Esta Multi Usaha Tbk.,2020-03-09,2425354179,Pengembangan
ESTI.JK,Ever Shine Tex Tbk.,,2015208720,Pengembangan
ETWA.JK,Eterindo Wahanatama Tbk,,4668671400,Pemantauan Khusus
EURO.JK,Estee Gold Feet Tbk.,,2548826428,Akselerasi
EXCL.JK,XLSMART Telecom Sejahtera Tbk.,2005-09-29,18199862451,Utama
FAPA.JK,FAP Agri Tbk.,2021-01-04,3629411800,Pengembangan
FAST.JK,Fast Food Indonesia Tbk.,,4523610492,Pengembangan
FASW.JK,Fajar Surya Wisesa Tbk.,,3221255423,Pemantauan Khusus
FILM.JK,MD Entertainment Tbk.,,10887566758,Utama
FIMP.JK,Fimperkasa Utama Tbk.,2021-04-09,400000975,Pemantauan Khusus
FIRE.JK,Alfa Energi Investama Tbk.,2017-06-09,1475363179,Pengembangan
FISH.JK,FKS Multi Agro Tbk.,2002-01-18,4800000000,Utama
FITT.JK,Hotel Fitra International Tbk.,2019-06-11,1304272051,Pengembangan
FLMC.JK,Falmaco Nonwoven Industri Tbk.,2021-07-08,781250000,Akselerasi
FMII.JK,Fortune Mate Indonesia Tbk,2000-06-30,6400000000,Pengembangan
FOLK.JK,Multi Garam Utama Tbk.,,4091357544,Pengembangan
FOOD.JK,Sentra Food Indonesia Tbk.,2019-01-08,650000000,Pemantauan Khusus
FORE.JK,Fore Kopi Indonesia Tbk.,2025-04-14,8918359270,Pengembangan
FORU.JK,Fortune Indonesia Tbk,2002-01-17,465224000,Pengembangan
FPNI.JK,Lotte Chemical Titan Tbk.,2002-03-21,5566414000,Pengembangan
FUJI.JK,Fuji Finance Indonesia Tbk.,2019-07-09,1300000000,Pengembangan
FUTR.JK,Futura Energi Global Tbk.,2023-02-27,6635551959,Pengembangan
FWCT.JK,Wijaya Cahaya Timber Tbk.,2023-02-01,1963000000,Pengembangan
GAMA.JK,Aksara Global Development Tbk.,2012-07-11,10011027656,Pemantauan Khusus
GDST.JK,Gunawan Dianjaya Steel Tbk.,,9242500000,Pengembangan
GDYR.JK,Goodyear Indonesia Tbk.,,410000000,Pengembangan
GEMA.JK,Gema Grahasarana Tbk.,,1600000000,Pengembangan
GEMS.JK,Golden Energy Mines Tbk.,2011-11-17,5882353000,Utama
GGRM.JK,Gudang Garam Tbk.,,1924088000,Utama
GGRP.JK,Gunung Raja Paksi Tbk.,2019-09-19,12111376157,Pengembangan
GHON.JK,Gihon Telekomunikasi Indonesia,2018-04-09,550000000,Pengembangan
GIAA.JK,Garuda Indonesia (Persero) Tbk,2011-02-11,407091703837,Pengembangan
GJTL.JK,Gajah Tunggal Tbk.,,3484800000,Utama
